Iteration,Total shuffled,CDNN F1,CDNN ROC AUC,DNN F1,DNN ROC AUC,Delta F1,Delta ROC AUC
+X0,1,0.8251748251748252,0.851478837327894,0.8493150684931506,0.8717491075981642,-0.024140243318325427,-0.020270270270270174
+X37,2,0.8082191780821918,0.8373278939316676,0.8513513513513513,0.8737888832228455,-0.043132173269159524,-0.036460989291177914
+X1,3,0.8551724137931035,0.8764660887302397,0.8472222222222222,0.869709331973483,0.007950191570881282,0.006756756756756688
+X38,4,0.8783783783783784,0.89673635900051,0.8243243243243243,0.8508414074451811,0.05405405405405406,0.045894951555328856
+X7,5,0.8299319727891157,0.8555583885772565,0.8493150684931506,0.8717491075981642,-0.01938309570403496,-0.01619071902090763
+X2,6,0.7887323943661971,0.8217746047934728,0.7972972972972973,0.8278939316675167,-0.008564902931100127,-0.006119326874043929
+X16,7,0.8356164383561644,0.8602753697093319,0.7777777777777778,0.8123406425293218,0.0578386605783866,0.04793472718001013
+X32,8,0.7552447552447552,0.7941101478837328,0.6764705882352942,0.7353391126976033,0.07877416700946105,0.05877103518612947
+X21,9,0.7857142857142857,0.8197348291687915,0.697986577181208,0.7428607853136154,0.08772770853307765,0.07687404385517604
+X27,10,0.7945205479452054,0.8258541560428353,0.6666666666666666,0.7178735339112698,0.1278538812785388,0.10798062213156545
+X30,11,0.7172413793103448,0.7617287098419174,0.6802721088435374,0.729347271800102,0.036969270466807425,0.03238143804181548
+X35,12,0.6713286713286714,0.7252677205507394,0.64,0.6922488526262112,0.03132867132867134,0.03301886792452824
+X14,13,0.7132867132867133,0.759688934217236,0.6451612903225806,0.6916114227434982,0.06812542296413271,0.06807751147373786
+X17,14,0.7152317880794702,0.756374298827129,0.6285714285714286,0.693523712391637,0.08666035950804163,0.06285058643549202
+X29,15,0.6758620689655173,0.7273074961754208,0.6114649681528662,0.6592299847016828,0.06439710081265104,0.06807751147373797
+X34,16,0.6758620689655173,0.7273074961754208,0.6375,0.679500254971953,0.038362068965517304,0.0478072412034678
+X33,17,0.7536231884057971,0.7947475777664457,0.5477707006369427,0.6018612952575217,0.20585248776885445,0.19288628250892392
+X41,18,0.7132867132867133,0.759688934217236,0.6274509803921569,0.6780979092299847,0.08583573289455648,0.08159102498725135
+X13,19,0.6762589928057554,0.7326619071902091,0.5857142857142857,0.6591024987251402,0.09054470709146967,0.07355940846506892
+X15,20,0.6666666666666666,0.7151963284038756,0.5477707006369427,0.6018612952575217,0.11889596602972397,0.11333503314635385
